source,target,importance
RP11-370I10.10,RP13-143G15.4,0.3930807
ABCB1,RP13-143G15.4,0.40788826
LINC00431,RP13-143G15.4,0.41252893
BARX1,RP13-143G15.4,0.44300166
PAEP,RP13-143G15.4,0.45865375
APP,RP13-143G15.4,0.4592349
RAB7B,RP13-143G15.4,0.45955023
COL6A2,RP13-143G15.4,0.4735884
RP3-333A15.1,RP13-143G15.4,0.5499896
TFPI2,RP13-143G15.4,0.55579257
CTB-178M22.2,RP13-143G15.4,0.5557927
CCNA1,RP13-143G15.4,0.55579275
RP13-143G15.4,RP13-143G15.4,1.0
RP11-629B11.5,RP11-629B11.5,1.0
GYPB,GYPA,0.33538723
GYPA,GYPA,1.0
PSMG1,PSMG1,0.999994
SLBP,SLBP,1.0
GABARAPL1,GABARAPL1,0.9999585
DPH6,DPH6,0.99993247
N6AMT2,N6AMT2,0.9999925
TYMS,TYMS,0.9999816
METTL1,METTL1,1.0
FAM69A,FAM69A,0.99989617
CCDC85B,CCDC85B,0.999994
NIPAL1,NIPAL1,0.99994206
LACTB,LACTB,0.99997145
OBSCN,OBSCN,0.9999058
COQ3,COQ3,1.0
FOXG1-AS1,FOXG1-AS1,0.99985915
TUBB2A,TUBB2A,0.99999017
RP11-307P5.1,RP11-307P5.1,0.999931
ATF3,ATF3,1.0
BUB1B,BUB1B,0.9999835
MIF,MIF,1.0
TCF4-AS2,TCF4-AS2,1.0
CLIC4,CLIC4,1.0
ACRC,ACRC,0.99994445
F12,F12,0.99990094
RAB6B,RAB6B,0.9999031
PCED1A,PCED1A,1.0
BCORL1,BCORL1,0.9999497
MGLL,MGLL,1.0
PSMG2,PSMG2,0.9999915
LINC00885,LINC00885,0.99990255
LRP4,LRP4,1.0
FBL,FBL,0.9999996
TNFSF10,TNFSF10,0.9999886
CELA1,CELA1,1.0
SAT1,SAT1,1.0
CAMK2B,CAMK2B,1.0
MAGEA6,MAGEA6,0.99994284
DSG1,DSG1,1.0
CENPW,CENPW,0.9999774
CATIP,CATIP,0.9999014
OXNAD1,OXNAD1,0.9999495
ZFP64,ZFP64,0.9999712
HP,SLPI,0.33388072
TRGC1,SLPI,0.34681225
IPCEF1,SLPI,0.5561879
SLPI,SLPI,1.0
RP11-510M2.2,RP11-510M2.2,0.9999931
RPL38,RPL38,0.99999946
THYN1,THYN1,0.9999973
SDCCAG3,SDCCAG3,0.999979
ZBTB25,ZBTB25,1.0
KCNJ3,FPR1,0.32457095
FPR1,FPR1,1.0
VAMP8,VAMP8,1.0
MRPS30,MRPS30,0.99997604
SCARB1,SCARB1,0.9999719
HNRNPM,HNRNPM,1.0
CLGN,CLGN,1.0
FBLN2,FBLN2,0.9998573
TCP1,TCP1,1.0
COBL,COBL,0.9999336
SLC9A3R2,SLC9A3R2,0.9999236
MILR1,MILR1,0.9999519
MRPL50,MRPL50,1.0
LINC01413,LINC01413,1.0
CASP6,CASP6,0.9999418
ZNF382,ZNF382,1.0
BLMH,BLMH,0.9999842
L3MBTL3,L3MBTL3,1.0
PTGER3,PTGER3,1.0
CTC-425F1.4,CTC-425F1.4,0.99995506
SYF2,SYF2,1.0
NBR1,NBR1,1.0
LRP2BP,LRP2BP,1.0
CTD-2369P2.8,CTD-2369P2.8,1.0
MLLT3,MLLT3,0.9999743
CTD-3113P16.11,CTD-3113P16.11,0.9999954
RHOXF1-AS1,RHOXF1-AS1,0.9999954
UBB,APOE,0.3107829
GSTP1,APOE,0.34744257
APOE,APOE,1.0
SDCBP2-AS1,SDCBP2-AS1,0.9999894
GRK7,GRK7,0.99982136
ALDH1L2,ALDH1L2,0.9998447
RP11-273G15.2,RP11-273G15.2,1.0
CTB-147N14.6,CTB-147N14.6,1.0
PLCD1,PLCD1,0.99987745
AB019440.50,AB019440.50,1.0
CPXM1,CPXM1,0.99999416
CKMT1B,CKMT1B,1.0
NUP210,NUP210,1.0
IL22RA2,DHRS9,0.32836848
DHRS9,DHRS9,0.99987656
NSRP1,NSRP1,1.0
PDGFA,PGAM2,0.3742567
PGAM2,PGAM2,0.99999166
FBXO15,HLA-DRA,0.3952509
RP11-44M6.1,HLA-DRA,0.40580767
CTB-138E5.1,HLA-DRA,0.44857195
HLA-DRA,HLA-DRA,1.0
TDRD3,TDRD3,0.99996185
RP11-374A4.1,RP11-374A4.1,1.0
IFI27,IFI27,0.9998833
KIF20B,KIF20B,1.0
MYO16,MYO16,1.0
TNK1,TNK1,0.9999304
RP11-422P24.12,RP11-422P24.12,1.0
DMGDH,DMGDH,0.99999666
AC007246.3,AC007246.3,0.9999164
RAD51C,RAD51C,1.0
MTMR6,MTMR6,0.99996156
REEP5,REEP5,1.0
PRDX5,PRDX5,1.0
L3HYPDH,L3HYPDH,1.0
KLHL6,KLHL6,1.0
SOCS1,SOCS1,0.9999633
ZNF22,ZNF22,1.0
TUBB4A,TUBB4A,1.0
GALM,GALM,1.0
RND1,RND1,1.0
PLAC8,PLAC8,1.0
ZBTB16,ZBTB16,1.0
MYH7B,MYH7B,1.0
GLB1L2,GLB1L2,1.0
SELPLG,SELPLG,0.99986887
ZNF436-AS1,ZNF436-AS1,0.99999136
APOL1,APOL1,0.9999881
MBD2,MBD2,1.0
NCR3LG1,NCR3LG1,0.9999812
WDR4,WDR4,1.0
YBX2,YBX2,1.0
TRIM47,TRIM47,0.99999785
HECW2,HECW2,1.0
SDHD,SDHD,0.99995476
COLGALT2,COLGALT2,1.0
LRRC2,LRRC2,1.0
SLC16A3,SLC16A3,1.0
RP11-365P13.5,RP11-365P13.5,0.9999151
CTC-756D1.3,CTC-756D1.3,1.0
AC002480.3,AC002480.3,0.9999654
KHDC1L,KHDC1L,0.99987704
FBXO5,FBXO5,1.0
ITGA2B,ITGA2B,1.0
RIBC1,RIBC1,1.0
NPR3,NPR3,0.9999949
ATP5J,ATP5J,1.0
ACAT2,ACAT2,0.9999788
RP6-159A1.4,RP6-159A1.4,1.0
TNFSF15,FAM74A6,0.42642933
FAM74A6,FAM74A6,0.9999382
SEPP1,SEPP1,1.0
UBE2L3,RPLP1,0.32067746
CLIC1,RPLP1,0.3250618
CACYBP,RPLP1,0.3263777
NPM1,RPLP1,0.32714903
RPS27,RPLP1,0.3303015
RANBP1,RPLP1,0.33144003
PSMB1,RPLP1,0.3422353
RPS29,RPLP1,0.3448582
UBB,RPLP1,0.34656003
RAN,RPLP1,0.34663966
HSP90AA1,RPLP1,0.36026454
RPLP0,RPLP1,0.39894006
PRDX1,RPLP1,0.40477952
RPS28,RPLP1,0.40573993
RPS12,RPLP1,0.43037733
RPLP1,RPLP1,0.9999983
AC136616.1,AC136616.1,1.0
CGRRF1,CGRRF1,1.0
PPM1E,PPM1E,0.99995846
LONRF3,LONRF3,1.0
MFI2-AS1,MFI2-AS1,1.0
RHBDL2,RP11-21L1.1,0.374068
RP11-21L1.1,RP11-21L1.1,1.0
LINC01234,LINC01234,0.99991447
GIGYF1,GIGYF1,0.99992657
ASH1L-AS1,ASH1L-AS1,0.99996877
CCDC59,CCDC59,0.9999798
MAP3K5,MAP3K5,1.0
DYRK1B,DYRK1B,0.9999603
RP11-785G17.1,RP11-785G17.1,0.99997777
WBP2NL,WBP2NL,1.0
RP11-723O4.9,RP11-723O4.9,0.999921
C4orf46,C4orf46,1.0
C6orf132,C6orf132,1.0
BST1,BST1,0.9999584
CCDC7,CCDC7,0.99993336
ARHGAP39,ARHGAP39,0.9999976
ZCCHC8,ZCCHC8,0.99998325
WDR90,WDR90,1.0
SNTA1,SNTA1,0.99992377
CIB2,CIB2,0.999961
TCF19,TCF19,0.9999081
C17orf75,C17orf75,0.9999184
HBZ,BLVRB,0.33731604
BLVRB,BLVRB,0.9999787
CD36,LINC00565,0.6358867
LINC00565,LINC00565,1.0
IRF9,IRF9,1.0
RP11-544D21.2,RP11-544D21.2,1.0
SAMD1,SAMD1,0.9999645
CD93,CD93,1.0
SH3BGRL,SH3BGRL,0.99998164
RP11-728G15.1,RP11-728G15.1,1.0
FAM118A,FAM118A,1.0
LDB1,LDB1,0.99988896
ATCAY,ATCAY,0.9999605
SNRPG,RPS26,0.3264592
SLIRP,RPS26,0.32895106
HSPE1,RPS26,0.39412448
RPS26,RPS26,0.999997
HMGB2,SMC4,0.31418478
SMC4,SMC4,1.0
RANBP1,GADD45GIP1,0.3220991
GADD45GIP1,GADD45GIP1,1.0
AGPAT2,AGPAT2,0.99996096
LINC01473,LINC01473,0.9999249
KLHDC10,KLHDC10,1.0
GPR35,ALOX5AP,0.32367614
FYB,ALOX5AP,0.33895957
CIB3,ALOX5AP,0.3713401
MDGA1,ALOX5AP,0.43198392
ALOX5AP,ALOX5AP,1.0
GYLTL1B,GYLTL1B,1.0
PFAS,PFAS,0.9999351
CPEB1-AS1,CPEB1-AS1,1.0
CLN8,CLN8,1.0
MAD2L1,MAD2L1,1.0
KIF3A,KIF3A,0.9999131
PRKAG2,PRKAG2,1.0
NOL7,NOL7,0.9999905
TSIX,TSIX,1.0
PSAP,PSAP,1.0
DSG3,DSG3,0.9996682
TRAF3IP2,TRAF3IP2,0.9999469
FOXR1,FOXR1,0.9999458
SRI,SRI,0.99999255
RP11-286N22.8,RP11-286N22.8,1.0
ID3,ID3,1.0
HDAC7,HDAC7,0.9999885
REEP4,REEP4,1.0
ZFP69,ZFP69,0.9999518
GOSR1,GOSR1,0.99992484
PRTN3,PRTN3,1.0
U73166.2,U73166.2,0.9999768
NDUFB9,NDUFB9,0.99999905
ARHGAP31,ARHGAP31,0.9999265
LINC01099,LINC01099,1.0
DNAJC3-AS1,DNAJC3-AS1,0.9999736
POMK,POMK,1.0
KLHL21,KLHL21,0.99998814
AC009961.3,AC009961.3,0.99991685
MRPL37,MRPL37,0.99999136
NACA,GNB2L1,0.4525093
RPL10,GNB2L1,0.45681295
RPS5,GNB2L1,0.46158347
RPS18,GNB2L1,0.4636118
RPL14,GNB2L1,0.47399408
RPL7,GNB2L1,0.47715393
RPS6,GNB2L1,0.48570728
RPS4X,GNB2L1,0.48958138
NPM1,GNB2L1,0.4934551
RPL10A,GNB2L1,0.5128055
RPS3,GNB2L1,0.5166368
EEF1A1,GNB2L1,0.519012
RPL13A,GNB2L1,0.51913273
RPL3,GNB2L1,0.5367275
RPL5,GNB2L1,0.55649525
GNB2L1,GNB2L1,1.0
RFC2,RFC2,0.9999885
RANBP1,ANP32B,0.34921083
HMGB1,ANP32B,0.35471973
PTMA,ANP32B,0.3595129
ANP32B,ANP32B,1.0
KANK2,KANK2,0.9999564
FKBP10,FKBP10,0.9998763
TMEM56,TMEM56,1.0
IFRD1,IFRD1,1.0
ZNF581,ZNF581,1.0
HBEGF,HBEGF,0.999894
NASP,NASP,1.0
KPTN,KPTN,1.0
TBC1D4,TBC1D4,0.99997586
BEX2,BEX2,1.0
AC142528.1,AC142528.1,1.0
LAPTM4A,LAPTM4A,0.9999106
DHH,DHH,1.0
UROD,UROD,1.0
PHLDA1,HIVEP2,0.35065696
TTC9B,HIVEP2,0.3605129
AKAP12,HIVEP2,0.3630185
TRIML2,HIVEP2,0.37969127
CRLF2,HIVEP2,0.497793
CCL4L2,HIVEP2,0.5245706
SERPINE1,HIVEP2,0.60285485
TNS1,HIVEP2,0.6627043
PRR9,HIVEP2,0.66270435
SRPX,HIVEP2,0.66270447
CCL3,HIVEP2,0.692265
PMEPA1,HIVEP2,0.74883693
PLPP4,HIVEP2,0.74883693
CCL2,HIVEP2,0.7500714
IL3RA,HIVEP2,0.78620994
HIVEP2,HIVEP2,1.0
CYTH2,CYTH2,1.0
LINC00520,LINC00520,1.0
PLPP2,PLPP2,1.0
FILIP1L,FILIP1L,0.9999686
PEF1,PEF1,1.0
PPP1R14A,PPP1R14A,0.99999607
TOR3A,TOR3A,0.9999544
LINC00939,LINC00939,1.0
RP11-714L20.1,RP11-714L20.1,1.0
CREB3,CREB3,1.0
SCIN,SCIN,1.0
MT1X,MT1X,1.0
WDR43,WDR43,1.0
SAP30,SAP30,0.99996233
SPCS3,SPCS3,0.9999822
RP11-343J3.2,RP11-343J3.2,1.0
TK1,TK1,1.0
GMPPA,GMPPA,1.0
G2E3,G2E3,1.0
ACRBP,ACRBP,1.0
ENTPD1,ENTPD1,0.99987906
NPHP3-AS1,NPHP3-AS1,1.0
SMIM3,SMIM3,1.0
FADS1,FADS1,0.99995863
NET1,NET1,0.99997437
ZNF184,ZNF184,1.0
TMEM25,TMEM25,1.0
HSP90B1,HSP90B1,0.99999267
GPSM2,GPSM2,0.99999547
TMC7,TMC7,1.0
C1GALT1C1L,C1GALT1C1L,0.999928
SMAGP,SMAGP,1.0
ADPRM,ADPRM,0.99983525
LINC01011,LINC01011,1.0
ANO6,ANO6,0.9999935
CFAP44,CFAP44,0.9999603
RP11-1149O23.4,RP11-1149O23.4,0.99986917
PDE4DIP,PDE4DIP,1.0
CTD-3193O13.12,CTD-3193O13.12,1.0
RP1-34B20.21,RP1-34B20.21,0.99997914
TMEM156,TMEM156,1.0
AP001505.10,AP001505.10,1.0
CASD1,CASD1,1.0
WIPF3,WIPF3,0.9998969
RP11-286E11.2,RP11-286E11.2,0.99985546
ALOX5AP,GPR35,0.32367614
GPR35,GPR35,0.9999266
ALDOC,ALDOC,0.99994665
PRPS1,PRPS1,1.0
CSRNP1,CSRNP1,0.99999076
IGDCC3,IGDCC3,0.9999611
DNAAF1,DNAAF1,1.0
ZNF174,ZNF174,0.9999872
SKIDA1,SKIDA1,1.0
CKS1B,CENPF,0.31204796
HMMR,CENPF,0.31307423
CCNB1,CENPF,0.31826076
CDC20,CENPF,0.33156615
CKS2,CENPF,0.33296558
ASPM,CENPF,0.3362313
CDCA8,CENPF,0.34030908
TPX2,CENPF,0.35823986
HMGB2,CENPF,0.36681002
PLK1,CENPF,0.36704624
CENPE,CENPF,0.37348992
AURKA,CENPF,0.38614482
PIF1,CENPF,0.40091446
UBE2S,CENPF,0.4254146
TOP2A,CENPF,0.44174367
CENPF,CENPF,1.0
CSNK2B,CSNK2B,0.9999998
RP11-549B18.1,RP11-549B18.1,1.0
MS4A4A,MS4A4A,0.99992955
MRPL36,MRPL36,1.0
SNW1,SNW1,0.99996585
IDH1,IDH1,0.999963
PSMC2,PSMC2,1.0
MSMO1,MSMO1,0.9999674
MIR4458HG,MIR4458HG,0.9999739
SOGA1,SOGA1,1.0
PARS2,PARS2,1.0
CLCN4,TRHDE,0.5064659
TRHDE,TRHDE,1.0
CPNE3,CPNE3,0.99991864
CLIC1,RPS28,0.3171023
RPS14,RPS28,0.31806725
RPS18,RPS28,0.3236267
RPL39,RPS28,0.32731855
PRDX1,RPS28,0.33435225
RPS21,RPS28,0.34443805
RPL34,RPS28,0.37656716
RPL36,RPS28,0.38127246
RPS12,RPS28,0.40359187
RPLP1,RPS28,0.40573993
RPS27,RPS28,0.51995766
RPS29,RPS28,0.5291874
RPS28,RPS28,1.0
XIRP1,MUC12,0.33411396
KRT7,MUC12,0.34635887
ITK,MUC12,0.35168672
UPP1,MUC12,0.35284215
PHLDA1,MUC12,0.38867688
STC1,MUC12,0.4477139
RP11-1152H15.1,MUC12,0.47497895
PRSS22,MUC12,0.5010338
MUC12,MUC12,0.9998904
LMLN-AS1,LMLN-AS1,0.99998367
YBX1,NCL,0.3117692
RANBP1,NCL,0.3382724
SET,NCL,0.3580351
SERBP1,NCL,0.36158067
PTMA,NCL,0.43748802
NCL,NCL,0.99999905
PTPRF,PTPRF,0.9999537
PDGFA,TRIML2,0.32023495
HIVEP2,TRIML2,0.37969127
PAEP,TRIML2,0.38721544
UPP1,TRIML2,0.39408422
NDRG1,TRIML2,0.4150838
CCL3,TRIML2,0.4688023
TFPI2,TRIML2,0.46924925
CCNA1,TRIML2,0.46924937
CTB-178M22.2,TRIML2,0.4692494
PLPP4,TRIML2,0.5071546
PMEPA1,TRIML2,0.5071546
HEY1,TRIML2,0.5153934
APP,TRIML2,0.52927965
RP11-366H4.1,TRIML2,0.6406372
TRIML2,TRIML2,0.99995506
KCNH4,KCNH4,0.99995697
MARCH9,MARCH9,1.0
RP11-61J19.5,RP11-61J19.5,1.0
ONECUT3,ONECUT3,0.99988216
PLD3,PLD3,1.0
ATP1B1,ATP1B1,1.0
IER5L,IER5L,0.99989206
NRROS,NRROS,0.9999228
RP11-693J15.6,RP11-693J15.6,0.9999531
ANXA2R,ANXA2R,0.9999444
RP11-624M8.1,RP11-624M8.1,0.9998727
CTD-2325P2.3,CTD-2325P2.3,1.0
SH3RF1,SH3RF1,1.0
SUSD3,SUSD3,1.0
DIRC2,DIRC2,1.0
LINC01410,LINC01410,1.0
TRIB3,TRIB3,1.0
GEMIN2,GEMIN2,1.0
PTGS1,PTGS1,0.99991435
NDUFS5,COX5A,0.3224635
PRDX1,COX5A,0.32420447
NME1,COX5A,0.33611092
COX5A,COX5A,1.0
RP11-501J20.5,RP11-501J20.5,1.0
MT-ATP6,EIF1,0.311897
MT-ND4,EIF1,0.31283805
MT-CO2,EIF1,0.3303558
MT-CO1,EIF1,0.3309595
MT-CO3,EIF1,0.3585795
EIF1,EIF1,1.0
FOXD1,FOXD1,1.0
COL6A2,JADRR,0.31057918
RP11-1152H15.1,JADRR,0.31105676
LILRB1,JADRR,0.31108552
RP11-366H4.1,JADRR,0.35746652
PDGFA,JADRR,0.3575771
PAEP,JADRR,0.43238527
APP,JADRR,0.43292218
CCNA1,JADRR,0.524022
TFPI2,JADRR,0.5240221
CTB-178M22.2,JADRR,0.52403927
JADRR,JADRR,0.9999704
KRT8,KRT8,1.0
WDR62,WDR62,0.99992025
SCFD2,SCFD2,1.0
THBS1,THBS1,0.99994093
KLF13,KLF13,0.99998873
TROAP,TROAP,1.0
RP11-54O7.3,RP11-54O7.3,0.9999196
ZEB1,ZEB1,0.9999994
NR4A2,NR4A2,1.0
APOBR,APOBR,0.9999683
ENO1,ATP5B,0.32758886
ATP5B,ATP5B,1.0
NEU4,NEU4,0.9999263
SNHG23,SNHG23,1.0
AF213884.2,AF213884.2,0.9998637
KCP,KCP,0.9999816
ADAMTSL4,ADAMTSL4,0.9999129
MCM2,MCM2,0.99994475
MSH6,MSH6,0.9999754
MRPL24,MRPL24,0.99995744
DOCK11,DOCK11,0.9999586
ZNRD1,ZNRD1,0.9999805
FIBCD1,FIBCD1,0.9999156
ZNF420,ZNF420,1.0
CD34,CD34,1.0
RP11-315I20.1,RP11-315I20.1,0.9999268
GPR1,GPR1,1.0
ALG5,ALG5,0.99995273
NFKBIB,NFKBIB,1.0
YPEL2,YPEL2,1.0
HES7,HES7,1.0
MNDA,RP1-28O10.1,0.37684128
RP1-28O10.1,RP1-28O10.1,1.0
RP11-109G23.3,RP11-109G23.3,0.99995273
RAC3,RAC3,1.0
CYR61,CYR61,0.99992675
UPF3B,UPF3B,1.0
LINC01136,LINC01136,1.0
DLX2,DLX2,1.0
SLC2A4,SLC2A4,0.99988955
PRKCZ,PRKCZ,0.9999039
RFC4,RFC4,1.0
HNMT,HNMT,1.0
RASGRP2,RASGRP2,0.9999369
FEN1,FEN1,0.99997234
TRPV1,TRPV1,1.0
NOC3L,NOC3L,0.9999003
FBXO36,FBXO36,0.99990267
CPEB2,CPEB2,0.99992996
LINC00893,LINC00893,0.99986523
FZD1,FZD1,0.99995166
MAK,MAK,1.0
UBTD1,UBTD1,1.0
RCCD1,RCCD1,1.0
MRPL2,MRPL2,1.0
RPF1,RPF1,1.0
RP11-171I2.2,RP11-171I2.2,1.0
LMNA,LMNA,0.999954
DNAJC3,DNAJC3,1.0
HSP90AA1,EIF3I,0.31790686
PSMB2,EIF3I,0.31990987
UBB,EIF3I,0.32328314
NPM1,EIF3I,0.3241174
PSMB1,EIF3I,0.3320124
RAN,EIF3I,0.34088272
PRDX1,EIF3I,0.3971463
EIF3I,EIF3I,1.0
GSTM2,GSTM2,0.9999394
PIEZO1,PIEZO1,1.0
PSMD14,PSMD14,0.99998486
GNB1L,GNB1L,0.99999654
CD47,CD47,1.0
NDC1,NDC1,1.0
RP11-46J23.1,RP11-46J23.1,1.0
RP11-67L3.4,RP11-67L3.4,1.0
KLHL29,KLHL29,1.0
SCN11A,SCN11A,0.99996793
ALOX5AP,MDGA1,0.43198392
MDGA1,MDGA1,1.0
FAM150B,FAM150B,1.0
RP11-1379J22.5,RP11-1379J22.5,0.9999481
WBSCR22,WBSCR22,1.0
PHLDB1,PHLDB1,0.9999369
AMHR2,AMHR2,0.99993545
STK36,STK36,0.99992
SLC25A29,SLC25A29,0.9998957
BORA,BORA,1.0
FMOD,ADCY2,0.35074344
ADCY2,ADCY2,1.0
CCDC168,CCDC168,0.99999464
PRG3,PRG2,0.35172606
PRG2,PRG2,1.0
RP11-526F3.1,RP11-526F3.1,1.0
TGFBR2,TGFBR2,1.0
HERPUD1,HERPUD1,1.0
DNAH8,DNAH8,0.9999164
WDR19,WDR19,0.99997944
HFE,HFE,0.99995965
CECR2,CECR2,0.9999129
AK8,AK8,0.99991673
AC079354.5,AC079354.5,0.9999012
KLHDC7B,SFTPD-AS1,0.3454693
SFTPD-AS1,SFTPD-AS1,1.0
SRRM3,SRRM3,0.9999467
DLEU2,DLEU2,0.9999296
FJX1,FJX1,1.0
CENPI,CENPI,1.0
CCDC58,CCDC58,0.99997646
ZNF497,ZNF497,0.9999616
RP3-333H23.8,RP3-333H23.8,1.0
LINGO1,LINGO1,1.0
GSAP,GSAP,0.9999486
UHRF1,UHRF1,1.0
ITLN1,CA12,0.32511908
CACNG8,CA12,0.32532853
TTC9B,CA12,0.3836795
CA12,CA12,1.0
SMC5-AS1,SMC5-AS1,0.99999475
MTRNR2L4,MTRNR2L4,0.9998882
GATSL2,GATSL2,0.99998504
GEMIN5,GEMIN5,0.9999118
SWAP70,SWAP70,0.9999703
FOS,EGR1,0.31011957
IER2,EGR1,0.31170726
BTG2,EGR1,0.3378015
EGR1,EGR1,0.99989945
CLSPN,CLSPN,0.99997056
NOCT,NOCT,0.99989116
KISS1,APP,0.40052924
RP11-702F3.3,APP,0.40782613
JADRR,APP,0.43292218
RP13-143G15.4,APP,0.4592349
COL6A2,APP,0.49021116
RP11-1152H15.1,APP,0.49088016
LILRB1,APP,0.49104658
HEY1,APP,0.5035575
TRIML2,APP,0.52927965
PDGFA,APP,0.56427455
PAEP,APP,0.68211645
RP11-366H4.1,APP,0.6947961
CCNA1,APP,0.826496
CTB-178M22.2,APP,0.826496
TFPI2,APP,0.826496
APP,APP,1.0
ELMSAN1,ELMSAN1,0.9998921
CCDC34,CCDC34,0.99999547
TBRG4,TBRG4,1.0
IQCG,IQCG,1.0
MESDC2,MESDC2,1.0
ZFHX3,ZFHX3,1.0
SPHK1,SPHK1,0.99996233
SPRYD3,SPRYD3,0.999963
MT2A,MT2A,1.0
SNHG25,SNHG25,0.9999779
PTPN21,PTPN21,1.0
MXD4,MXD4,1.0
RABEPK,RABEPK,1.0
TTLL11,TTLL11,0.9999282
LY9,LY9,0.9999677
UBE2S,CDCA8,0.31584996
TUBB,CDCA8,0.31743205
CKS2,CDCA8,0.3272849
TPX2,CDCA8,0.32751906
CENPF,CDCA8,0.34030908
CENPA,CDCA8,0.3452291
PLK1,CDCA8,0.35118553
AURKA,CDCA8,0.37975916
PIF1,CDCA8,0.39588422
TOP2A,CDCA8,0.4157584
CDCA8,CDCA8,1.0
EXOSC4,EXOSC4,0.9999807
TMOD1,TMOD1,0.99999934
NEU1,NEU1,1.0
ENAH,ENAH,0.99993485
DUS1L,DUS1L,0.99997216
RP11-22P4.2,RP11-22P4.2,1.0
NR2C2AP,NR2C2AP,0.9999061
SPATA5,SPATA5,0.9999539
GINS1,GINS1,0.9999561
TMEM86B,TMEM86B,1.0
RP11-48B3.5,RP11-48B3.5,0.9999303
